filename,angle_cw
158_rot178_00_158.png,178.0
159_rot162_00_159.png,162.0
15_rot180_00_15.png,180.0
160_rot276_00_160.png,276.0
161_rot288_00_161.png,288.0
162_rot248_00_162.png,248.0
163_rot166_00_163.png,166.0
164_rot357_00_164.png,357.0
165_rot104_00_165.png,104.0
166_rot87_00_166.png,87.0
167_rot165_00_167.png,165.0
168_rot300_00_168.png,300.0
169_rot205_00_169.png,205.0
16_rot294_00_16.png,294.0
170_rot201_00_170.png,201.0
171_rot270_00_171.png,270.0
172_rot226_00_172.png,226.0
173_rot222_00_173.png,222.0
174_rot176_00_174.png,176.0
175_rot191_00_175.png,191.0
176_rot165_00_176.png,165.0
177_rot69_00_177.png,69.0
178_rot81_00_178.png,81.0
179_rot79_00_179.png,79.0
17_rot146_00_17.png,146.0
180_rot153_00_180.png,153.0
181_rot168_00_181.png,168.0
182_rot250_00_182.png,250.0
183_rot257_00_183.png,257.0
184_rot261_00_184.png,261.0
185_rot146_00_185.png,146.0
186_rot221_00_186.png,221.0
187_rot258_00_187.png,258.0
188_rot286_00_188.png,286.0
189_rot64_00_189.png,64.0
18_rot87_00_18.png,87.0
190_rot197_00_190.png,197.0
191_rot218_00_191.png,218.0
192_rot168_00_192.png,168.0
193_rot119_00_193.png,119.0
194_rot266_00_194.png,266.0
195_rot143_00_195.png,143.0
196_rot284_00_196.png,284.0
197_rot147_00_197.png,147.0
198_rot110_00_198.png,110.0
199_rot201_00_199.png,201.0
19_rot223_00_19.png,223.0
1_rot137_00_1.png,137.0
200_rot209_00_200.png,209.0
20_rot247_00_20.png,247.0
21_rot286_00_21.png,286.0
22_rot162_00_22.png,162.0
23_rot251_00_23.png,251.0
24_rot87_00_24.png,87.0
25_rot162_00_25.png,162.0
26_rot208_00_26.png,208.0
27_rot295_00_27.png,295.0
28_rot286_00_28.png,286.0
29_rot147_00_29.png,147.0
2_rot278_00_2.png,278.0
30_rot128_00_30.png,128.0
31_rot151_00_31.png,151.0
32_rot218_00_32.png,218.0
33_rot169_00_33.png,169.0
34_rot252_00_34.png,252.0
35_rot81_00_35.png,81.0
36_rot112_00_36.png,112.0
37_rot231_00_37.png,231.0
38_rot173_00_38.png,173.0
39_rot103_00_39.png,103.0
3_rot257_00_3.png,257.0
40_rot232_00_40.png,232.0
41_rot64_00_41.png,64.0
42_rot177_00_42.png,177.0
43_rot166_00_43.png,166.0
44_rot93_00_44.png,93.0
45_rot242_00_45.png,242.0
46_rot108_00_46.png,108.0
47_rot183_00_47.png,183.0
48_rot92_00_48.png,92.0
49_rot136_00_49.png,136.0
4_rot153_00_4.png,153.0
50_rot89_00_50.png,89.0
51_rot87_00_51.png,87.0
52_rot286_00_52.png,286.0
53_rot294_00_53.png,294.0
54_rot93_00_54.png,93.0
55_rot136_00_55.png,136.0
56_rot207_00_56.png,207.0
57_rot107_00_57.png,107.0
58_rot72_00_58.png,72.0
59_rot111_00_59.png,111.0
5_rot246_00_5.png,246.0
60_rot60_00_60.png,60.0
61_rot112_00_61.png,112.0
62_rot166_00_62.png,166.0
63_rot162_00_63.png,162.0
64_rot191_00_64.png,191.0
65_rot132_00_65.png,132.0
66_rot67_00_66.png,67.0
67_rot172_00_67.png,172.0
68_rot159_00_68.png,159.0
69_rot290_00_69.png,290.0
6_rot283_00_6.png,283.0
70_rot102_00_70.png,102.0
71_rot283_00_71.png,283.0
72_rot199_00_72.png,199.0
73_rot99_00_73.png,99.0
74_rot121_00_74.png,121.0
75_rot161_00_75.png,161.0
76_rot135_00_76.png,135.0
77_rot294_00_77.png,294.0
78_rot141_00_78.png,141.0
79_rot157_00_79.png,157.0
7_rot276_00_7.png,276.0
80_rot282_00_80.png,282.0
81_rot76_00_81.png,76.0
82_rot106_00_82.png,106.0
83_rot296_00_83.png,296.0
84_rot137_00_84.png,137.0
85_rot289_00_85.png,289.0
86_rot191_00_86.png,191.0
87_rot147_00_87.png,147.0
88_rot114_00_88.png,114.0
89_rot73_00_89.png,73.0
8_rot215_00_8.png,215.0
90_rot293_00_90.png,293.0
91_rot273_00_91.png,273.0
92_rot182_00_92.png,182.0
93_rot200_00_93.png,200.0
94_rot192_00_94.png,192.0
95_rot106_00_95.png,106.0
96_rot222_00_96.png,222.0
97_rot260_00_97.png,260.0
98_rot297_00_98.png,297.0
99_rot180_00_99.png,180.0
9_rot207_00_9.png,207.0
